City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
104,Bredasdorp,100,ZA,2021-07-19 19:27:56,82,-34.5322,20.0403,52.92,3.44
105,Yellowknife,90,CA,2021-07-19 19:27:37,67,62.456,-114.3525,70.29,9.22
106,Mar Del Plata,0,AR,2021-07-19 19:27:55,58,-38.0023,-57.5575,55.87,5.99
107,Matli,99,PK,2021-07-19 19:29:55,76,25.0431,68.6557,83.91,23.55
108,Bambous Virieux,40,MU,2021-07-19 19:28:39,73,-20.3428,57.7575,71.85,16.11
109,Bathsheba,20,BB,2021-07-19 19:29:05,66,13.2167,-59.5167,86.61,24.16
110,Dwarka,100,IN,2021-07-19 19:29:56,81,22.2394,68.9678,83.14,26.19
111,Zabol,0,AF,2021-07-19 19:27:51,15,32.25,67.25,81.34,11.27
112,Olinda,75,BR,2021-07-19 19:23:10,78,-8.0089,-34.8553,76.73,2.3
113,Seymchan,92,RU,2021-07-19 19:29:57,61,62.8833,152.4333,52.56,5.19
114,Rokupr,99,SL,2021-07-19 19:29:58,94,8.6717,-12.395,76.12,4.56
115,Necocli,53,CO,2021-07-19 19:29:58,67,8.4234,-76.786,85.77,5.7
116,Ambovombe,80,MG,2021-07-19 19:29:59,78,-25.1667,46.0833,67.6,9.48
117,Hervey Bay,0,AU,2021-07-19 19:29:59,59,-25.2986,152.8535,53.02,1.01
118,Pevek,28,RU,2021-07-19 19:27:42,88,69.7008,170.3133,37.65,3.69
119,Arman,48,RU,2021-07-19 19:29:59,66,59.7,150.1667,54.25,6.24
120,Sakaiminato,70,JP,2021-07-19 19:21:54,88,35.55,133.2333,73.38,2.3
121,Asau,99,RO,2021-07-19 19:22:53,98,46.4333,26.4,68.92,5.14
122,Cairns,90,AU,2021-07-19 19:30:00,89,-16.9167,145.7667,72.07,6.91
123,Meulaboh,100,ID,2021-07-19 19:26:43,91,4.1363,96.1285,75.88,4.29
124,Guayaquil,75,EC,2021-07-19 19:26:06,65,-2.1667,-79.9,82.36,10.36
125,Miri,20,MY,2021-07-19 19:30:01,94,4.4148,114.0089,77.14,0.0
126,Dikson,0,RU,2021-07-19 19:27:33,82,73.5069,80.5464,38.19,7.65
127,Lasa,22,IT,2021-07-19 19:30:03,75,46.6166,10.7002,76.91,4.9
128,Hirado,100,JP,2021-07-19 19:30:03,76,33.3597,129.5531,73.38,4.92
129,Tiksi,100,RU,2021-07-19 19:27:48,88,71.6872,128.8694,54.39,9.24
130,Nantucket,1,US,2021-07-19 19:28:19,63,41.2835,-70.0995,78.91,14.97
131,Havelock,75,US,2021-07-19 19:30:05,83,34.8791,-76.9013,82.36,8.01
132,Ammon,1,US,2021-07-19 19:30:05,26,43.4696,-111.9666,90.1,18.41
133,Kapaa,90,US,2021-07-19 19:27:26,80,22.0752,-159.319,80.92,1.99
134,Anloga,57,GH,2021-07-19 19:21:51,85,5.7947,0.8973,79.02,15.75
135,Mehamn,40,NO,2021-07-19 19:30:06,71,71.0357,27.8492,48.15,8.05
136,Talcahuano,0,CL,2021-07-19 19:30:06,55,-36.7167,-73.1167,58.68,8.05
137,Matara,99,LK,2021-07-19 19:30:07,83,5.9485,80.5353,79.65,13.2
138,East London,1,ZA,2021-07-19 19:27:21,24,-33.0153,27.9116,66.67,6.02
139,Cody,1,US,2021-07-19 19:30:07,13,44.5263,-109.0565,97.92,4.61
140,Batemans Bay,8,AU,2021-07-19 19:23:18,73,-35.7167,150.1833,42.91,5.93
141,Isangel,18,VU,2021-07-19 19:30:08,88,-19.55,169.2667,73.54,5.73
142,Avera,100,US,2021-07-19 19:22:34,84,33.194,-82.5271,87.67,5.75
143,Benjamin Constant,90,BR,2021-07-19 19:30:08,83,-4.3831,-70.0311,77.13,4.61
144,Maraa,99,BR,2021-07-19 19:28:35,70,-1.8333,-65.3667,82.89,3.67
145,Aksu,89,CN,2021-07-19 19:21:57,57,41.1231,80.2644,71.06,6.71
146,Maine-Soroa,2,NE,2021-07-19 19:30:09,45,13.2114,12.0241,85.69,12.24
147,Constitucion,19,CL,2021-07-19 19:30:10,50,-35.3333,-72.4167,60.33,11.23
148,Gasa,7,PS,2021-07-19 19:30:10,70,31.5,34.4667,83.91,10.51
149,Arraial Do Cabo,0,BR,2021-07-19 19:30:11,60,-22.9661,-42.0278,69.76,13.8
150,Honiara,100,SB,2021-07-19 19:27:24,82,-9.4333,159.95,74.93,4.27
151,Coahuayana,54,MX,2021-07-19 19:30:11,54,18.7333,-103.6833,87.28,6.02
152,Nanortalik,100,GL,2021-07-19 19:27:55,98,60.1432,-45.2371,44.08,6.46
153,Salta,0,AR,2021-07-19 19:30:12,38,-24.7859,-65.4117,59.59,8.01
154,Lulea,90,SE,2021-07-19 19:30:12,55,65.5842,22.1547,60.87,8.05
155,Cockburn Town,100,TC,2021-07-19 19:30:13,84,21.4612,-71.1419,81.81,19.75
156,Longyearbyen,75,SJ,2021-07-19 19:27:35,81,78.2186,15.6401,42.64,3.44
157,Nizhniy Ufaley,53,RU,2021-07-19 19:30:13,79,55.9153,59.9842,60.55,1.21
